INLINE WalkingSoundTable,Sound
0x0,0
Noble,0
Noble(F),0
MasterKnight,1
MasterKnight(F),1
SwordKnight,1
LanceKnight,1
AxeKnight,1
BowKnight,1
ArchKnight,1
ForrestKnight,1
GreatKnight,1
DukeKnight,1
Thief,0
0xe,0
SwordFighter,0
SwordFighter(F),0
Hero,0
Hero (F),0
Myrmidon,0
Myrmidon (F),0
Swordmaster,0
Swordmaster (F),0
Thief(F),0
Ballista,4
Archer,0
Archer (F),0
Sniper,0
Sniper (F),0
Scaleshot,2
Skyseeker,3
Dragonlord,2
Seraphknight,3
Pegasus Rider,3
Falcoknight,3
Dragon Rider,2
Dracoknight,2
Mage,0
Mage (F),0
Sage,0
Sage (F),0
Mage Knight,1
Mage Knight (F),1
High Priest,0
High Priestess,0
Dark Mage,0
Dark Mage (F),0
Dark Bishop,0
Dark Bishop (F),0
Bard,0
Sister,0
Thief Fighter,0
0x34,0
Priest,0
Priest (F),0
Rook Knight,1
Gold Knight,1
Troubadour,1
Paladin,1
0x3b,0
0x3c,0
Hunter,0
Hunter (F),0
Warrior (F),0
Warrior,0
Brigand,0
Brigand (F),0
Sword Armor,4
Axe Armor,4
Lance Armor,4
Bow Armor,4
General,4
Mage Armor,4
Baron,4
Axe Fighter,0
Axe Fighter (F),0
Thief Fighter (F),0
0x4d,0
Lance Soldier,0
Axe Soldier,0
0x50,5
0x51,11
SwordKnight (D),0
LongBallista,4
LanceKnight (D),0
AxeKnight (D),0
BowKnight (D),0
ArchKnight (D),0
ForrestKnight (D),0
GreatKnight (D),0
DukeKnight (D),0
Scaleshot (D),0
Skyseeker (D),0
Dragonlord (D),0
Seraphknight (D),0
Pegasus Rider (D),0
Falcoknight (D),0
Dragon Rider (D),0
0x62,0
Dracoknight (D),0
Mage Knight (D),0
0x65,6
0x66,0
Mage Knight (F) (D),0
Rook Knight (D),0
Gold Knight (D),0
Troubadour (D),0
Paladin (D),0
Bard (F),0
0x6d,0
0x6e,0
0x6f,0
0x70,0
0x71,0
0x72,0
Corsair,0
Corsair (F),0
Berserker,0
Berserker (F),0
Master Knight (D),0
Halberdier,0
0x79,0
Freelancer,0
Champion,0
Master_Knight_F (D),0
Brother,0
LongBallista,4
0x7f,0
0x80,0
0x81,0
0x82,0
0x83,0
0x84,0
0x85,0
0x86,0
0x87,0
0x88,0
0x89,0
0x8a,0
0x8b,0
0x8c,0
0x8d,0
0x8e,0
0x8f,0
0x90,0
0x91,0
0x92,0
0x93,0
0x94,0
0x95,0
0x96,0
0x97,0
0x98,0
0x99,0
0x9a,0
0x9b,0
0x9c,0
0x9d,0
0x9e,0
0x9f,0
0xa0,0
0xa1,0
0xa2,0
0xa3,0
0xa4,0
0xa5,0
0xa6,0
0xa7,0
0xa8,0
0xa9,0
0xaa,0
0xab,0
0xac,0
0xad,0
0xae,0
0xaf,0
0xb0,0
0xb1,0
0xb2,0
0xb3,0
0xb4,0
0xb5,0
0xb6,0
0xb7,0
0xb8,0
0xb9,0
0xba,0
0xbb,0
0xbc,0
0xbd,0
0xbe,0
0xbf,0
0xc0,0
0xc1,0
0xc2,0
0xc3,0
0xc4,0
0xc5,0
0xc6,0
0xc7,0
0xc8,0
0xc9,0
0xca,0
0xcb,0
0xcc,0
0xcd,0
0xce,0
0xcf,0
0xd0,0
0xd1,0
0xd2,0
0xd3,0
0xd4,0
0xd5,0
0xd6,0
0xd7,0
0xd8,0
0xd9,0
0xda,0
0xdb,0
0xdc,0
0xdd,0
0xde,0
0xdf,0
0xe0,0
0xe1,0
0xe2,0
0xe3,0
0xe4,0
0xe5,0
0xe6,0
0xe7,0
0xe8,0
0xe9,0
0xea,0
0xeb,0
0xec,0
0xed,0
0xee,0
0xef,0
0xf0,0
0xf1,0
0xf2,0
0xf3,0
0xf4,0
0xf5,0
0xf6,0
0xf7,0
0xf8,0
0xf9,0
0xfa,0
0xfb,0
0xfc,0
0xfd,0
0xfe,0
