INLINE CharLevelUpSkillTable,Skill List Address
0,0
0x01 Cleo,0x0
0x02 Mira,0x0
0x03 Iskra,0x0
0x04 Emil,0x0
0x05 Svetomir,0x0
0x06 Alena,0x0
0x07 Ross,0x0
0x08 Neimi,0
0x09 Alex,0
0x0A Axel,0
0x0B Innes,0
0x0C Lute,0
0x0D Natasha,0
0x0E Cormag,0
0x0F Loewe,0x0
0x10 Forde,0
0x11 Kyle,0
0x12 Amelia,0
0x13 Artur,0
0x14 Gerik,0
0x15 Cadenza,CadenzaSkillList|IsPointer
0x16 Marisa,0
0x17 Saleh,0
0x18 Ewan,0
0x19 L'Arachel,0
0x1A Dozla,0
0x1B -,0
0x1C Rennac,0
0x1D Duessel,0
0x1E Myrrh,ValseSkillList|IsPointer
0x1F Knoll,0
0x20 Joshua,0
0x21 Syrene,0
0x22 Tana,0
0x23 Lyon,0
0x24 Orson,0
0x25 Glen,0
0x26 Selena,0
0x27 Pelecaye,PelecayeSkillList|IsPointer
0x28 Riev,0
0x29 Caellach,0
0x2A Fado,0
0x2B Ismaire,0
0x2C Hayden,0
0x2D -,0
0x2E -,0
0x2F -,0
0x30 -,0
0x31 -,0
0x32 -,0
0x33 -,0
0x34 -,0
0x35 -,0
0x36 -,0
0x37 -,0
0x38 -,0
0x39 -,0
0x3A -,0
0x3B Lyon's Summon,0
0x3C <Summon>,0
0x3D <'Summonern'>,0
0x3E Knoll's Summon,0
0x3F Ewan's Summon,0
0x40 Lyon (Ch 17),0
0x41 Morva (Ch 20),0
0x42 Orson (Ch 5x),0
0x43 Valter (Ch 15),0
0x44 Selena (Ch 10B & 13B),0
0x45 Valter (Prologue),0
0x46 Breguet (Ch 1),0
0x47 Bone (Ch 2),0
0x48 Bazba (Ch 3),0
0x49 Entombed (Ch 4),0
0x4A Saar (Ch 5),0
0x4B Novala (Ch 6),0
0x4C Murray (Ch 7),0
0x4D Tirado (Ch 8),0
0x4E Binks (Ch 9A),0
0x4F Pablo (Ch 10A),0
0x50 Maelduin (Ch 12A),0
0x51 Aias (Ch 13A),0
0x52 Carlyle (Ch 14A),0
0x53 Caellach (Ch 15),0
0x54 Pablo (Ch 13A),0
0x55 -,0
0x56 Gorgon (Ch 18),0
0x57 Riev (Ch 19 & 20),0
0x58 -,0
0x59 -,0
0x5A Gheb (Ch 9B),0
0x5B Beran (Ch 10B),0
0x5C Cyclops (Ch 12B),0
0x5D Wight (Ch 11A),0
0x5E Deathgoyle (Ch 11B),0
0x5F Entombed (Monster Boss),0
0x60 -,0
0x61 -,0
0x62 -,0
0x63 -,0
0x64 Hunter,0
0x65 Bandit (Carcino?),0
0x66 Brigand,0
0x67 Bandit (Unused?),0
0x68 O'Neill (Prologue),0
0x69 Glen (Cutscene),0
0x6A Zonta (Ch 5x),0
0x6B Vigarde (Ch 14B),0
0x6C Lyon (Ch Final),0
0x6D Orson (Ch 16),0
0x6E -,0
0x6F -,0
0x70 -,0
0x71 -,0
0x72 -,0
0x73 -,0
0x74 -,0
0x75 -,0
0x76 -,0
0x77 -,0
0x78 -,0
0x79 -,0
0x7A -,0
0x7B -,0
0x7C -,0
0x7D -,0
0x7E -,0
0x7F -,0
0x80 Grado Soldier (Main),0
0x81 -,0
0x82 -,0
0x83 -,0
0x84 -,0
0x85 -,0
0x86 -,0
0x87 -,0
0x88 -,0
0x89 Grado (Duessel's),0
0x8A Grado (Duessel's),0
0x8B Grado (Duessel's),0
0x8C Grado,0
0x8D Grado Remnant (Main),0
0x8E Cutthroat,0
0x8F Grado Remnant (Cutscene/C16),0
0x90 Grado Remnant (C16),0
0x91 Grado Remnant (C16),0
0x92 Wraith (Sage),0
0x93 Wraith (Swords),0
0x94 Wraith (Axes),0
0x95 -,0
0x96 -,0
0x97 -,0
0x98 -,0
0x99 -,0
0x9A -,0
0x9B -,0
0x9C -,0
0x9D -,0
0x9E -,0
0x9F -,0
0xA0 -,0
0xA1 -,0
0xA2 -,0
0xA3 -,0
0xA4 -,0
0xA5 -,0
0xA6 -,0
0xA7 Mercenary (Ch 9A),0
0xA8 Mercenary (Ch 10A),0
0xA9 Remnant/Merc (Ch 13A),0
0xAA Monster,0
0xAB Monster,0
0xAC Monster,0
0xAD Monster,0
0xAE Monster,0
0xAF Monster,0
0xB0 Monster,0
0xB1 Monster,0
0xB2 Monster,0
0xB3 Monster,0
0xB4 Monster,0
0xB5 Monster,0
0xB6 Monster,0
0xB7 Monster,0
0xB8 Monster,0
0xB9 Monster,0
0xBA Monster (Gorgon Egg?),0
0xBB Monster,0
0xBC Monster,0
0xBD Monster (Dracozombie?),0
0xBE Demon King,0
0xBF -,0
0xC0 Frelian,0
0xC1 Frelian,0
0xC2 -,0
0xC3 -,0
0xC4 -,0
0xC5 Fado (Renais),0
0xC6 -,0
0xC7 Hayden (Frelia),0
0xC8 Mansel (Rausten),0
0xC9 Klimt (Carcino),0
0xCA Dara (Caer Pelyn),0
0xCB Ismaire (Jehanna),0
0xCC Pegasus Messenger,0
0xCD Rausten Knight,0
0xCE Rausten Knight,0
0xCF -,0
0xD0 -,0
0xD1 -,0
0xD2 -,0
0xD3 -,0
0xD4 -,0
0xD5 -,0
0xD6 -,0
0xD7 -,0
0xD8 -,0
0xD9 -,0
0xDA -,0
0xDB -,0
0xDC -,0
0xDD -,0
0xDE -,0
0xDF -,0
0xE0 -,0
0xE1 -,0
0xE2 -,0
0xE3 -,0
0xE4 -,0
0xE5 -,0
0xE6 -,0
0xE7 -,0
0xE8 -,0
0xE9 -,0
0xEA -,0
0xEB -,0
0xEC -,0
0xED -,0
0xEE -,0
0xEF -,0
0xF0 -,0
0xF1 -,0
0xF2 -,0
0xF3 -,0
0xF4 River Folk Child (F),0
0xF5 River Folk (F),0
0xF6 River Folk (M),0
0xF7 River Folk (F),0
0xF8 River Folk Child,0
0xF9 Renais Citizen 1 (Child),0
0xFA Renais Citizen 2,0
