INLINE SpellAssociationTable,Weapon,IsMapOnly,Ranged Animation,Ranged Animation Enabled,##UNKNOWN##,Map Animation,Direct HP Change,Map Sprite Direction,Attack Color,##UNKNOWN##
0x1,0x1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2,0x2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x3,0x3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x4,0x4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5,0x5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x6,0x6,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7,0x7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x8,0x8,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9,0x9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa,0xa,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb,0xb,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc,0xc,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd,0xd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe,0xe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf,0xf,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x10,0x10,2,0x1f,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x11,0x11,2,0x1e,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x12,0x12,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x13,0x13,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x14,0x14,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x15,0x15,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x16,0x16,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x17,0x17,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x18,0x18,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x19,0x19,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1a,0x1a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1b,0x1b,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1c,0x1c,2,0x3,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x1d,0x1d,2,0x3,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x1e,0x1e,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1f,0x1f,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x20,0x20,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x21,0x21,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x22,0x22,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x23,0x23,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x24,0x24,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x25,0x25,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x26,0x26,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x27,0x27,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x28,0x28,2,0x1,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x29,0x29,2,0x1,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x2a,0x2a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2b,0x2b,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2c,0x2c,2,0x1,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x2d,0x2d,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x2e,0x2e,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x2f,0x2f,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x30,0x30,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x31,0x31,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x32,0x32,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x33,0x33,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x34,0x34,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x35,0x35,2,0x10,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x36,0x36,2,0x10,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x37,0x37,2,0x10,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x38,0x38,2,0x16,0x1,0x0,0x0,0x1,0x0,0x2,0x0
0x39,0x39,2,0x19,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x3a,0x3a,2,0x17,0x1,0x0,0x0,0x1,0x0,0x2,0x0
0x3b,0x3b,2,0x1a,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x3c,0x3c,2,0x1b,0x1,0x0,0x0,0x1,0x0,0x4,0x0
0x3d,0x3d,2,0x1c,0x1,0x0,0x0,0x1,0x0,0x2,0x0
0x3e,0x3e,2,0x35,0x1,0x0,0x0,0x1,0x0,0x4,0x0
0x3f,0x3f,2,0x1f,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x40,0x40,2,0x33,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x41,0x41,2,0x22,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x42,0x42,2,0x20,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x43,0x43,2,0x37,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x44,0x44,2,0xff,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x45,0x45,2,0x1d,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x46,0x46,2,0x34,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x47,0x47,2,0x1e,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x48,0x48,2,0x24,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x49,0x49,2,0x25,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x4a,0x4a,2,0x41,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x4b,0x4b,2,0x26,0x1,0x0,0x89a4a54,0x1,0x0,0x0,0x0
0x4c,0x4c,2,0x27,0x1,0x0,0x89a4abc,0x1,0x0,0x0,0x0
0x4d,0x4d,2,0x28,0x1,0x0,0x89a4b24,0x1,0x0,0x0,0x0
0x4e,0x4e,2,0x29,0x1,0x0,0x89a4b24,0x1,0x0,0x0,0x0
0x4f,0x4f,1,0xfe,0xff,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x50,0x50,2,0x2c,0x1,0x0,0x89a4f44,0x0,0x0,0x0,0x0
0x51,0x51,2,0x2d,0x1,0x0,0x89a4ea4,0x0,0x0,0x0,0x0
0x52,0x52,2,0x2e,0x1,0x0,0x89a4d64,0x0,0x0,0x0,0x0
